keyword,answer
"wheat, gehu #1",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #2",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #3",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #4","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #5",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #6",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #7",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #8","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #9",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #10",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #11",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #12","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #13",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #14",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #15",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #16","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #17",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #18",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #19",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #20","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #21",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #22",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #23",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #24","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #25",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #26",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #27",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #28","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #29",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #30",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #31",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #32","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #33",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #34",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #35",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #36","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #37",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #38",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #39",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #40","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #41",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #42",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #43",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #44","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #45",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #46",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #47",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #48","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #49",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #50",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #51",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #52","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #53",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #54",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #55",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #56","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #57",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #58",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #59",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #60","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #61",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #62",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #63",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #64","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #65",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #66",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #67",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #68","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #69",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #70",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #71",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #72","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #73",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #74",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #75",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #76","If leaves turn yellow or pests appear, spray 5% neem oil solution."
"wheat, gehu #77",Best sowing time for wheat is November. Maintain NPK ratio 120:60:40.
"price, mandi, rate #78",Check Live Mandi rates in the Market & Calendar tab. Data sourced from data.gov.in.
"urea, fertilizer #79",Excess urea harms soil health. Prefer neem-coated urea for balanced nutrition.
"pest, kida, yellow #80","If leaves turn yellow or pests appear, spray 5% neem oil solution."
