date,state,district,commodity,variety,market,min_price,max_price,modal_price
2025-01-01,Uttar Pradesh,DistrictA,Wheat,Common,MarketC,1610,2100,1855
2025-01-01,Uttar Pradesh,DistrictA,Rice,Common,MarketC,2435,2915,2675
2025-01-01,Uttar Pradesh,DistrictA,Tomato,Common,MarketB,1595,1845,1720
2025-01-01,Uttar Pradesh,DistrictA,Potato,Common,MarketA,1209,1534,1371
2025-01-01,Uttar Pradesh,DistrictA,Onion,Common,MarketA,1959,2739,2349
2025-01-01,Uttar Pradesh,DistrictB,Wheat,Common,MarketB,1257,1644,1450
2025-01-01,Uttar Pradesh,DistrictB,Rice,Common,MarketB,1188,1802,1495
2025-01-01,Uttar Pradesh,DistrictB,Tomato,Common,MarketB,2137,2412,2274
2025-01-01,Uttar Pradesh,DistrictB,Potato,Common,MarketC,1084,1332,1208
2025-01-01,Uttar Pradesh,DistrictB,Onion,Common,MarketB,1837,2423,2130
2025-01-01,Uttar Pradesh,DistrictC,Wheat,Common,MarketA,2412,2829,2620
2025-01-01,Uttar Pradesh,DistrictC,Rice,Common,MarketB,2004,2549,2276
2025-01-01,Uttar Pradesh,DistrictC,Tomato,Common,MarketB,1254,1689,1471
2025-01-01,Uttar Pradesh,DistrictC,Potato,Common,MarketC,2284,2754,2519
2025-01-01,Uttar Pradesh,DistrictC,Onion,Common,MarketA,1655,2111,1883
2025-01-01,Maharashtra,DistrictA,Wheat,Common,MarketC,1258,1504,1381
2025-01-01,Maharashtra,DistrictA,Rice,Common,MarketC,1524,1931,1727
2025-01-01,Maharashtra,DistrictA,Tomato,Common,MarketB,1746,2094,1920
2025-01-01,Maharashtra,DistrictA,Potato,Common,MarketB,1437,1791,1614
2025-01-01,Maharashtra,DistrictA,Onion,Common,MarketB,2113,2670,2391
2025-01-01,Maharashtra,DistrictB,Wheat,Common,MarketA,2240,2895,2567
2025-01-01,Maharashtra,DistrictB,Rice,Common,MarketB,1628,2026,1827
2025-01-01,Maharashtra,DistrictB,Tomato,Common,MarketC,1532,1931,1731
2025-01-01,Maharashtra,DistrictB,Potato,Common,MarketB,2013,2660,2336
2025-01-01,Maharashtra,DistrictB,Onion,Common,MarketB,2325,2555,2440
2025-01-01,Maharashtra,DistrictC,Wheat,Common,MarketB,2272,2742,2507
2025-01-01,Maharashtra,DistrictC,Rice,Common,MarketA,2417,3118,2767
2025-01-01,Maharashtra,DistrictC,Tomato,Common,MarketB,1885,2633,2259
2025-01-01,Maharashtra,DistrictC,Potato,Common,MarketA,1838,2444,2141
2025-01-01,Maharashtra,DistrictC,Onion,Common,MarketB,2116,2727,2421
2025-01-01,Bihar,DistrictA,Wheat,Common,MarketA,1158,1371,1264
2025-01-01,Bihar,DistrictA,Rice,Common,MarketA,1224,1928,1576
2025-01-01,Bihar,DistrictA,Tomato,Common,MarketC,2272,2982,2627
2025-01-01,Bihar,DistrictA,Potato,Common,MarketC,1215,1955,1585
2025-01-01,Bihar,DistrictA,Onion,Common,MarketC,1987,2406,2196
2025-01-01,Bihar,DistrictB,Wheat,Common,MarketB,2244,2832,2538
2025-01-01,Bihar,DistrictB,Rice,Common,MarketB,2065,2547,2306
2025-01-01,Bihar,DistrictB,Tomato,Common,MarketA,1833,2569,2201
2025-01-01,Bihar,DistrictB,Potato,Common,MarketC,1922,2250,2086
